EbNo	MIX-LPF_cnt	MIX-LPF_err	MIX-LPF_ber	MIX-LPF-ISI_cnt	MIX-LPF-ISI_err	MIX-LPF-ISI_ber	
-1	-1	-1	0	-1	-1	0	
0.000000	0	0	0.000000e+00	0	0	0.000000e+00	
5.686547	0	0	0.000000e+00	0	0	0.000000e+00	
8.377870	0	0	0.000000e+00	0	0	0.000000e+00	
10.159025	0	0	0.000000e+00	0	0	0.000000e+00	
11.492414	0	0	0.000000e+00	0	0	0.000000e+00	
12.558534	0	0	0.000000e+00	0	0	0.000000e+00	
13.446844	0	0	0.000000e+00	0	0	0.000000e+00	
14.208263	0	0	0.000000e+00	0	0	0.000000e+00	
14.874553	0	0	0.000000e+00	0	0	0.000000e+00	
15.466866	0	0	0.000000e+00	0	0	0.000000e+00	
16.000000	0	0	0.000000e+00	0	0	0.000000e+00	
-2	-2	-2	431.301451	-2	-2	431.301451	
0.000000	19994684	9305554	4.654014e-01	19994684	9632588	4.817575e-01	
5.686547	0	0	1.000000e+00	0	0	1.000000e+00	
8.377870	0	0	1.000000e+00	0	0	1.000000e+00	
10.159025	0	0	1.000000e+00	0	0	1.000000e+00	
11.492414	0	0	1.000000e+00	0	0	1.000000e+00	
12.558534	0	0	1.000000e+00	0	0	1.000000e+00	
13.446844	0	0	1.000000e+00	0	0	1.000000e+00	
14.208263	0	0	1.000000e+00	0	0	1.000000e+00	
14.874553	0	0	1.000000e+00	0	0	1.000000e+00	
15.466866	0	0	1.000000e+00	0	0	1.000000e+00	
16.000000	0	0	1.000000e+00	0	0	1.000000e+00	
-3	-3	-3	429.792324	-3	-3	429.792324	
0.000000	19994684	9305554	4.654014e-01	19994684	9632588	4.817575e-01	
5.686547	19994684	1329395	6.648742e-02	19994684	4825461	2.413372e-01	
8.377870	0	0	1.000000e+00	0	0	1.000000e+00	
10.159025	0	0	1.000000e+00	0	0	1.000000e+00	
11.492414	0	0	1.000000e+00	0	0	1.000000e+00	
12.558534	0	0	1.000000e+00	0	0	1.000000e+00	
13.446844	0	0	1.000000e+00	0	0	1.000000e+00	
14.208263	0	0	1.000000e+00	0	0	1.000000e+00	
14.874553	0	0	1.000000e+00	0	0	1.000000e+00	
15.466866	0	0	1.000000e+00	0	0	1.000000e+00	
16.000000	0	0	1.000000e+00	0	0	1.000000e+00	
-4	-4	-4	430.170378	-4	-4	430.170378	
0.000000	19994684	9305554	4.654014e-01	19994684	9632588	4.817575e-01	
5.686547	19994684	1329395	6.648742e-02	19994684	4825461	2.413372e-01	
8.377870	19994684	6124	3.062814e-04	19994684	557675	2.789116e-02	
10.159025	0	0	1.000000e+00	0	0	1.000000e+00	
11.492414	0	0	1.000000e+00	0	0	1.000000e+00	
12.558534	0	0	1.000000e+00	0	0	1.000000e+00	
13.446844	0	0	1.000000e+00	0	0	1.000000e+00	
14.208263	0	0	1.000000e+00	0	0	1.000000e+00	
14.874553	0	0	1.000000e+00	0	0	1.000000e+00	
15.466866	0	0	1.000000e+00	0	0	1.000000e+00	
16.000000	0	0	1.000000e+00	0	0	1.000000e+00	
-5	-5	-5	429.246874	-5	-5	429.246874	
0.000000	19994684	9305554	4.654014e-01	19994684	9632588	4.817575e-01	
5.686547	19994684	1329395	6.648742e-02	19994684	4825461	2.413372e-01	
8.377870	19994684	6124	3.062814e-04	19994684	557675	2.789116e-02	
10.159025	19994684	23	1.150306e-06	19994684	33001	1.650489e-03	
11.492414	0	0	1.000000e+00	0	0	1.000000e+00	
12.558534	0	0	1.000000e+00	0	0	1.000000e+00	
13.446844	0	0	1.000000e+00	0	0	1.000000e+00	
14.208263	0	0	1.000000e+00	0	0	1.000000e+00	
14.874553	0	0	1.000000e+00	0	0	1.000000e+00	
15.466866	0	0	1.000000e+00	0	0	1.000000e+00	
16.000000	0	0	1.000000e+00	0	0	1.000000e+00	
-6	-6	-6	429.092053	-6	-6	429.092053	
0.000000	19994684	9305554	4.654014e-01	19994684	9632588	4.817575e-01	
5.686547	19994684	1329395	6.648742e-02	19994684	4825461	2.413372e-01	
8.377870	19994684	6124	3.062814e-04	19994684	557675	2.789116e-02	
10.159025	19994684	23	1.150306e-06	19994684	33001	1.650489e-03	
